"logFC","logCPM","F","PValue","FDR","gene"
0.763457250554106,8.3804065619657,70.0122341940864,6.87136417736791e-08,3.24496608376743e-06,"ivd-1"
-0.931230755993726,7.03433367607398,69.9776478340287,6.89797086752947e-08,3.24496608376743e-06,"dpy-11"
-4.29930872135242,4.08595741555579,68.4552449223177,7.15095935937363e-08,3.34627261390479e-06,"E01G6.1"
-7.30699784529781,3.05671103823978,77.6155428605684,7.41263876948295e-08,3.45056394238078e-06,"col-173"
-3.70144363954288,3.93007279601403,68.3099728496097,8.08399373087577e-08,3.74347855527169e-06,"cdh-10"
-0.836250840300429,9.23216432036397,67.7412170781944,8.86134363261233e-08,4.06376728156822e-06,"lrp-1"
-0.798541069196983,9.57934229154581,67.7355239530424,8.86706616380873e-08,4.06376728156822e-06,"gln-3"
0.916992760421367,7.3585563694115,66.9735131960337,9.67191719127153e-08,4.40989824346642e-06,"T21B10.3"
1.06175570774505,7.89089675972667,66.7719374024778,9.89792753153878e-08,4.48992212667915e-06,"nog-1"
-7.93626730268177,3.60047526687254,74.2006678667586,1.02470468588258e-07,4.62469510770663e-06,"Y11D7A.9"
-1.14951994018836,7.32986582597031,66.1097323745119,1.06827480110713e-07,4.79698548315328e-06,"txdc-12.2"
-7.46621447355848,3.19095682920418,73.142206217644,1.13637411909279e-07,5.07667894984646e-06,"K08E7.5"
0.864564388724491,7.24663837523625,65.5348391568384,1.14198154309897e-07,5.07667894984646e-06,"rbm-28"
0.766193098107261,8.47657114540412,65.4557585294278,1.15252097610437e-07,5.09804179032037e-06,"npp-9"
-3.38653575281243,3.66923261944363,65.0851740693483,1.17267320748408e-07,5.16150370680245e-06,"bus-8"
0.762852479037514,8.0471035295243,65.2545102374981,1.17991394159928e-07,5.1677905688469e-06,"rop-1"
0.949137655578724,6.87118855912906,65.2124976192908,1.18578088945818e-07,5.16802837655524e-06,"T20B12.3"
-7.82429360388569,3.50133119018732,72.5563237053509,1.20332508385034e-07,5.20748305511326e-06,"grl-5"
0.805208611174345,7.87506480059552,65.0637538553445,1.2065476429573e-07,5.20748305511326e-06,"Y45F10D.7"
3.66728088386253,3.47331863420201,63.3883151006932,1.30190754453229e-07,5.59191303306114e-06,"F08G2.5"
0.683201805325695,9.49237594759883,63.6164527608762,1.43153825232005e-07,6.11913778912383e-06,"ugt-62"
-1.24277629496448,5.7004507138846,63.4913009724271,1.45339349747723e-07,6.18283329477035e-06,"ugt-57"
-0.768977057883176,8.55686058337011,63.2096051547541,1.50285317150961e-07,6.36279407042475e-06,"mua-6"
-0.941387783723127,7.90958478035127,62.89675602478,1.56037565651689e-07,6.57502367871642e-06,"ZK632.4"
-1.22784872450393,6.62429026044835,62.4501915203393,1.6467957029013e-07,6.90644367664878e-06,"oac-46"
-0.744078253102255,8.61462970840873,62.2887553531042,1.67917267782785e-07,7.00916632796591e-06,"alh-9"
1.50392084740154,5.02831383899243,60.8552732818346,2.0020187558271e-07,8.31773306451342e-06,"K08C7.1"
1.53620391463739,5.62283278744256,60.7406831472639,2.02986203647831e-07,8.39418761224587e-06,"T02B11.4"
-5.31397504739637,2.99496246089209,54.4713285493203,2.06089554484499e-07,8.4830658746374e-06,"grd-14"
0.749000002732726,8.01540206010823,60.2474911076061,2.15721382299368e-07,8.83861202775888e-06,"Y39B6A.33"
-0.851418040818495,7.7145507011961,59.8337918633255,2.27140738657744e-07,9.26379957525689e-06,"tps-2"
0.972072958494376,6.85708694448727,59.5777113585556,2.34547286754071e-07,9.5221914453445e-06,"Y17G7B.20"
-7.61054235775507,3.31426618393933,65.8930769772286,2.38227224463012e-07,9.62762842136654e-06,"pqn-13"
-0.85848098680578,7.22728122799228,59.202654472711,2.45863448917813e-07,9.89127567569354e-06,"vap-1"
0.918256416312265,7.28215934365412,58.8752089417794,2.56241318587034e-07,1.02623493853933e-05,"T26G10.1"
-4.88628790313532,3.31446276140624,51.995751091654,2.63717063913297e-07,1.05099897916474e-05,"col-109"
0.885797889115476,6.98771679978418,58.6164375599449,2.64788855396358e-07,1.05099897916474e-05,"lem-2"
1.4403267400326,5.11529904383957,58.5440736522454,2.67353731922387e-07,1.05646312467642e-05,"T16G1.7"
-1.60105318867045,5.86165882863228,58.0415384598758,2.84968728586011e-07,1.12108715303461e-05,"F16B4.4"
-3.39754305705678,3.68133910397665,57.3589619498893,3.0392378977391e-07,1.19039049113649e-05,"lgc-22"
-1.00712332462602,6.40374964293851,55.8792589470513,3.77221349848886e-07,1.46951777912207e-05,"M79.2"
-0.895015555173859,6.84090829009836,55.8534886827586,3.78494625372798e-07,1.46951777912207e-05,"lmd-5"
0.807425208387072,7.66402330864746,55.7165483818258,3.85377993019914e-07,1.48973727649568e-05,"gst-7"
0.887141836474496,8.00173760033473,55.3462502256265,4.04721134248544e-07,1.55773835697134e-05,"pyr-1"
-0.843199744384481,8.25312217478918,55.14698112515,4.15571725449941e-07,1.59260698748941e-05,"D2030.2"
-1.14801219752242,11.3208358480243,54.9615166693493,4.25960126719475e-07,1.62541265522011e-05,"icl-1"
0.722180675270614,7.83720682930985,54.8195220114118,4.34112606483623e-07,1.64944238642987e-05,"JC8.2"
-0.59676203327185,9.58223035581896,54.6110983355367,4.46381968952503e-07,1.68884344083264e-05,"mup-4"
0.888555483961823,7.12556433993387,54.0741472393435,4.79818234109341e-07,1.80765420316362e-05,"F13H6.3"
0.810501580126684,6.88152089300232,53.8548597969757,4.94256959594394e-07,1.85419351382015e-05,"C17H12.4"
-2.32858979895208,3.85274764027458,53.9229062384057,4.97775200581511e-07,1.85458489825807e-05,"Y37D8A.3"
-3.63427842104329,3.70822672643207,53.3842905001543,4.98533112904824e-07,1.85458489825807e-05,"F15B9.8"
-0.761986147635551,7.29768501366328,53.656477408329,5.07718290110781e-07,1.8808847155729e-05,"phy-2"
-0.966075849909668,6.97490516495842,53.1721486746904,5.42349275479321e-07,2.00084124825172e-05,"oac-14"
0.723409170424248,8.54768306783729,52.8589764057789,5.66097673840362e-07,2.0798241397168e-05,"puf-12"
-0.985532668919025,6.37484130940915,52.7793973740619,5.72358669014347e-07,2.09417322066114e-05,"grsp-2"
