"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"F46G10.2",116.695913867891,-0.883338404719634,0.242980819600719,0.000332727706625911,0.0099553014148603
"gadr-6",34.0144169698675,3.36154698922356,0.425498904151988,2.40188082581255e-13,3.37989667457309e-11
"F49E12.12",23.7179102515949,-2.09741942169902,0.50262007800763,3.38361486959239e-06,0.00015390320967449
"noah-2",156.432374647857,-4.33077124164783,0.467372052518406,2.32580002379315e-18,6.75682419815519e-16
"cut-2",92.0539980337975,-6.56640653135056,0.673908232141842,1.6872853608224e-21,7.23604379026976e-19
"F55G11.2",84.8930544992171,0.972609540561024,0.241111374949019,8.39567070595358e-05,0.00283188802913176
"ttr-31",165.922065283685,-0.746458788379353,0.164508008797708,0.000327399138294341,0.00986139344307302
"F58B4.5",240.166749302305,0.667020625239941,0.141277971506178,0.000807815950113675,0.021460738780896
"pwp-1",325.298518375301,0.651008464966518,0.124998525374193,0.000540579011103765,0.0152139205437516
"srdh-1",133.974278642681,1.1211578500019,0.186631646404394,1.95798364960867e-07,9.96248629851732e-06
"cdr-4",258.133782976773,0.628463945520118,0.132884698972081,0.00150252544940581,0.0366713934887499
"hrg-2",83.7457785971219,-1.63004389376119,0.236946762779756,2.62237664345955e-10,2.40991061744865e-08
"tasp-1",185.576735926539,-0.860285516618381,0.186214959438984,7.04947682930923e-05,0.0024324746484582
"chtb-1",33.7889929797044,-6.90680919474332,1.17132930594608,1.25580979873008e-09,1.02816573157846e-07
"K07F5.14",161.217062994679,0.703656487959595,0.161049562486379,0.000755748907576022,0.0204392632481371
"K08C7.1",44.8164500002367,1.33376612729125,0.315338241565965,8.91885434437635e-06,0.000378883029365346
"K08D8.6",261.74680885905,0.640406703799391,0.135683524918439,0.00124661393883732,0.0312729947999133
"K08E7.5",10.9778436607269,-6.25197647063497,1.2116777935227,8.87901290848651e-08,4.84632668205027e-06
"cpg-7",15.6459750799328,-1.76320867525653,0.679185898453677,0.000116517909283213,0.00373437825980292
"K10C3.5",234.915680457078,1.03650933918499,0.145435357889725,1.03397475580891e-08,6.89776048208522e-07
"K10D3.4",103.058886652978,-2.23320077658117,0.22127843765725,1.82961984903043e-19,6.59102254414723e-17
"M03B6.3",26.1554968194689,-5.83339804842986,1.02951513013673,1.05472550297002e-08,6.9844543233441e-07
"lact-4",248.569044764635,-0.685514619918116,0.179687944643145,0.00191323933153161,0.0457045979304342
"M79.2",118.816058378726,-0.875868840610308,0.196112545667801,8.10307251485957e-05,0.00276425269200096
"ugt-62",1028.62977262223,0.637947469665023,0.0993626964673862,0.000108335223324401,0.00352226361465544
"metr-1",838.130173876583,-0.941978971207688,0.10946762035364,1.93698668519245e-10,1.81713563404616e-08
"ddx-52",208.39585162097,0.651654202975333,0.151091940036659,0.00171015013432158,0.0411807810419789
"rbm-28",215.566394467014,0.779741190976393,0.14695001093502,5.18340243949342e-05,0.00185244930039991
"R07E3.6",32.5879059206603,-5.07761512624512,0.695450963645874,1.45443794363724e-12,1.70112572992168e-10
"R10D12.1",99.7683487980124,-0.99388969607955,0.232319059978567,4.40254224688535e-05,0.00161175997867681
"swt-6",36.5330314563399,0.878183103666912,0.372730380882745,0.00166061754334183,0.0402030150412271
"suro-1",24.5741044689132,-2.76924571169521,0.460130663921693,9.26782526111491e-09,6.32318441678795e-07
"R11D1.3",50.6910050255887,-1.22616655075772,0.311377180310076,2.64637317682389e-05,0.00101851439446478
"mnk-1",613.014643535104,-0.636808785334919,0.13232284277007,0.001178862952666,0.0298225835722191
"ugt-30",18.6606202705402,-1.82057734146949,0.586083050503346,4.32819897682432e-05,0.00159101061164407
"T04H1.5",27.1094496707827,1.04269526295525,0.447999072416474,0.000790667949242147,0.021192724853794
"T06D8.10",18.2002359505718,-5.30408410926388,1.07015605073022,3.95622637487166e-07,1.93640080065729e-05
"oac-46",138.625771951508,-1.12672623759334,0.205361460596994,8.95796034528981e-07,4.18007206578653e-05
"T16G1.6",54.2776747526473,2.39645356137796,0.310801569076778,1.2199146894892e-12,1.4455989070447e-10
"T16G1.7",47.9666694397751,1.26348678925469,0.304254530888849,1.40579184820651e-05,0.000584631831702563
"T19B10.2",78.4994475207819,-2.48102306132109,0.258568092255627,5.90498425621193e-18,1.4373050867958e-15
"T21B10.3",233.15542857063,0.833667227671728,0.150131498988805,1.37643519490794e-05,0.000576566296062369
"alh-13",106.642907249956,-1.66284787487661,0.205995542563425,5.68865100999775e-13,7.31885585657711e-11
"T26C5.2",34.3514138617636,-4.18374537625223,0.527687361442375,6.24188304197339e-14,1.00382854778593e-11
"T26G10.1",220.860651649344,0.82778152587321,0.158222236569507,3.00497498347363e-05,0.00113233492473488
"T27D12.1",350.388969432091,-1.11490363824304,0.138411258775493,1.20992681733898e-10,1.14701062283735e-08
"grsp-2",116.304289334293,-0.846216958746818,0.195840559506426,0.000144017742932728,0.0045509606766742
