"","Aux_rep1_RNA","Aux_rep2_RNA","Aux_rep3_RNA","noAux_rep1_RNA","noAux_rep2_RNA","noAux_rep3_RNA"
"sart-3",43.3265402848895,25.0968227412248,41.8582145042871,28.0592559363371,32.5316543374208,14.5417824481336
"B0035.13",8.47693179486968,1.79263019580177,7.24469097189585,7.27462190942072,1.85895167642405,1.3219802225576
"B0035.15",1.88376262108215,8.96315097900887,8.85462229898381,1.03923170134582,7.43580670569618,6.60990111278798
"B0198.3",5.65128786324646,11.6520962727115,6.43972530835186,3.11769510403745,1.85895167642405,5.28792089023038
"npp-22",3.7675252421643,8.96315097900887,10.4645536260718,11.431548714804,12.0831858967563,21.1516835609215
"calf-1",3.7675252421643,1.79263019580177,0,4.15692680538327,0.929475838212023,1.3219802225576
"B0250.5",18.8376262108215,14.3410415664142,16.9042789344236,20.7846340269163,24.1663717935126,33.0495055639399
"dhcr-7",7.53505048432861,8.06683588110798,12.8794506167037,10.3923170134582,10.2242342203322,9.25386155790317
"memb-1",0,0.896315097900887,1.60993132708797,7.27462190942072,1.85895167642405,0
"B0272.3",26.3726766951501,16.133671762216,33.8085578688473,34.294646144412,47.4032677488132,30.4055451188247
"B0272.4",1.88376262108215,0,0,1.03923170134582,0.929475838212023,0
"cdk-12",25.4307953846091,23.3041925454231,26.5638668969514,24.9415608322996,27.8842751463607,18.5077231158063
"lcmt-1",2.82564393162323,3.58526039160355,4.8297939812639,5.19615850672908,9.29475838212023,0
"B0285.6",4.70940655270538,4.48157548950443,4.02482831771991,3.11769510403745,1.85895167642405,7.93188133534558
"mnp-1",32.9658458689377,37.6452341118373,33.8085578688473,17.6669389228789,36.2495576902689,18.5077231158063
"ttr-18",31.0820832478555,24.2005076433239,43.4681458313751,37.4123412484494,35.3200818520569,31.7275253413823
"B0334.3",135.630908717915,156.855142132655,125.574643512861,107.040865238619,138.491899893591,130.876042033202
"B0334.4",2.82564393162323,1.79263019580177,0.804965663543983,0,1.85895167642405,3.96594066767279
"B0334.5",32.9658458689377,27.7857680349275,24.1489699063195,10.3923170134582,16.7305650878164,37.0154462316127
"acly-2",19.7795075213626,23.3041925454231,23.3440042427755,28.0592559363371,37.1790335284809,46.2693077895159
"clec-41",40.5008963532663,25.9931378391257,53.1277337939029,47.8046582619076,69.7106878659017,40.9813868992855
"B0379.1",3.7675252421643,19.7189321538195,9.6595879625278,8.31385361076654,7.43580670569618,3.96594066767279
"fbxa-152",0.941881310541076,0.896315097900887,0,5.19615850672908,0,0
"rbg-3",11.3025757264929,12.5484113706124,11.2695192896158,9.35308531211235,6.50633086748416,14.5417824481336
"B0393.3",7.53505048432861,3.58526039160355,2.41489699063195,4.15692680538327,4.64737919106011,6.60990111278798
"B0393.5",0.941881310541076,0,0,3.11769510403745,0,0
"B0395.3",30.1402019373144,22.4078774475222,12.8794506167037,30.1377193390287,24.1663717935126,21.1516835609215
"kcnl-1",18.8376262108215,35.8526039160355,20.9291072521436,13.5100121174956,23.2368959553006,26.4396044511519
"B0457.2",0.941881310541076,0.896315097900887,5.63475964480788,5.19615850672908,3.71790335284809,3.96594066767279
"B0457.6",2.82564393162323,8.96315097900887,0,3.11769510403745,0.929475838212023,2.64396044511519
"ctr-9",44.2684215954306,25.0968227412248,37.0284205230232,23.9023291309538,30.6727026609968,31.7275253413823
"nlp-36",18.8376262108215,19.7189321538195,6.43972530835186,17.6669389228789,17.6600409260284,6.60990111278798
"B0464.6",44.2684215954306,43.9194397971435,34.6135235323913,12.4707804161498,15.8010892496044,40.9813868992855
"tag-342",1.88376262108215,0.896315097900887,4.02482831771991,1.03923170134582,3.71790335284809,1.3219802225576
"B0464.9",3.7675252421643,5.37789058740532,11.2695192896158,1.03923170134582,3.71790335284809,1.3219802225576
"B0491.1",11.3025757264929,8.96315097900887,1.60993132708797,1.03923170134582,9.29475838212023,13.219802225576
"lgc-20",0.941881310541076,2.68894529370266,0.804965663543983,1.03923170134582,7.43580670569618,1.3219802225576
"B0491.5",102.665062848977,102.179921160701,86.1313259992062,81.0600727049737,90.1591563065662,107.080398027165
"B0491.6",11.3025757264929,13.4447264685133,9.6595879625278,6.2353902080749,8.3652825439082,10.5758417804608
"B0491.7",16.0119822791983,17.9263019580177,11.2695192896158,14.5492438188414,17.6600409260284,6.60990111278798
"thoc-7",3.7675252421643,4.48157548950443,0,3.11769510403745,3.71790335284809,1.3219802225576
"prdh-1",58.3966412535467,34.9562888181346,43.4681458313751,33.2554144430661,26.9547993081487,35.6934660090551
"vamp-8",1.88376262108215,1.79263019580177,0,1.03923170134582,1.85895167642405,0
"exos-4.1",2.82564393162323,5.37789058740532,3.21986265417593,1.03923170134582,3.71790335284809,3.96594066767279
"best-1",8.47693179486968,0.896315097900887,4.8297939812639,8.31385361076654,7.43580670569618,5.28792089023038
"B0564.7",5.65128786324646,9.85946607690976,10.4645536260718,7.27462190942072,15.8010892496044,17.1857428932487
"C01A2.2",10.3606944159518,10.7557811748106,1.60993132708797,5.19615850672908,6.50633086748416,7.93188133534558
"oxa-1",12.244457037034,9.85946607690976,33.8085578688473,16.6277072215331,13.9421375731803,17.1857428932487
"C01A2.4",7.53505048432861,0.896315097900887,8.04965663543983,2.07846340269163,1.85895167642405,1.3219802225576
"tads-1",5.65128786324646,1.79263019580177,3.21986265417593,4.15692680538327,3.71790335284809,1.3219802225576
"nlp-38",0.941881310541076,0.896315097900887,0,0,3.71790335284809,0
"C01B9.1",6.59316917378753,8.96315097900887,9.6595879625278,3.11769510403745,0.929475838212023,5.28792089023038
"cpna-3",2.82564393162323,2.68894529370266,8.04965663543983,10.3923170134582,12.0831858967563,5.28792089023038
"C01F6.9",13.1863383475751,4.48157548950443,4.02482831771991,12.4707804161498,11.1537100585443,1.3219802225576
"C01G6.4",1.88376262108215,5.37789058740532,2.41489699063195,7.27462190942072,2.78842751463607,5.28792089023038
"C01G6.5",101.723181538436,61.8457417551612,83.7164290085742,97.6877799265068,81.793873762658,100.470496914377
"acs-7",16.0119822791983,12.5484113706124,13.6844162802477,22.863097429608,7.43580670569618,3.96594066767279
"C01G10.4",17.8957449002804,37.6452341118373,22.5390385792315,22.863097429608,26.0253234699366,19.8297033383639
"C01G10.5",2.82564393162323,10.7557811748106,2.41489699063195,3.11769510403745,0.929475838212023,0
"C01G10.6",5.65128786324646,4.48157548950443,15.2943476073357,9.35308531211235,2.78842751463607,6.60990111278798
"C01G10.7",5.65128786324646,2.68894529370266,1.60993132708797,2.07846340269163,0.929475838212023,5.28792089023038
"ahsa-1",81.0017927065325,72.6015229299718,76.4717380366784,147.570901591106,110.607624747231,111.046338694838
"C01G10.9",6.59316917378753,2.68894529370266,8.04965663543983,5.19615850672908,2.78842751463607,2.64396044511519
"C01G10.15",10.3606944159518,11.6520962727115,17.7092445979676,11.431548714804,10.2242342203322,11.8978220030184
"madf-5",12.244457037034,12.5484113706124,10.4645536260718,6.2353902080749,15.8010892496044,7.93188133534558
"C01G12.7",2.82564393162323,8.06683588110798,1.60993132708797,5.19615850672908,8.3652825439082,0
"C01H6.4",0,3.58526039160355,1.60993132708797,2.07846340269163,1.85895167642405,2.64396044511519
