"","Aux_rep1_ribo","Aux_rep2_ribo","Aux_rep3_ribo","noAux_rep1_ribo","noAux_rep2_ribo","noAux_rep3_ribo"
"bre-1",162.678410790383,160.094474742215,181.044401232415,129.56321166057,155.440430617609,150.953023326368
"bre-3",70.4939780091661,64.2556055087801,49.7607418592017,46.4107026843833,54.6142053521327,55.8068752903543
"bre-4",14.4603031813674,19.6034050704753,16.9398270158985,12.5695653103538,8.40218543878965,21.0419365848877
"bre-5",9.03768948835463,6.5344683568251,8.46991350794923,8.70200675332186,6.30163907909224,6.40406765627017
"brf-1",43.3809095441022,52.2757468546008,75.1704823830494,33.8411373740295,44.1114735536457,43.9136067858526
"brp-1",884.789800909918,884.33138429033,792.995652181747,1131.26087793184,1069.17809708598,963.354748864641
"btf-1",41.5733716464313,35.939575962538,38.1146107857715,34.8080270132875,40.9606540140996,42.998739977814
"bub-1",93.9919706788881,95.8388692334347,89.9928310219606,94.7551846472825,98.7256789057784,100.635348884246
"byn-1",290.109832576184,234.151782786233,238.216317411072,175.007024705695,193.250265092162,203.100431384568
"cab-1",707.651086938167,781.95804670007,779.232042731329,797.683952387837,808.710348483504,676.086571140522
"cah-2",23.497992669722,28.3160295462421,22.2335229583667,39.6424752095774,26.2568294962177,21.9568033929263
"cah-3",287.398525729677,282.07121740295,299.623190343704,253.325085485592,259.417475422631,255.247839442768
"cah-4",375.064113766717,393.157179468977,357.853845710855,638.14716191027,681.62729372181,604.726960113512
"cah-5",144.603031813674,155.738162504331,156.693399897061,143.099666610182,131.284147481088,118.017818236979
"cah-6",85.858050139369,99.1061034118473,112.226353980327,77.3511711406388,97.6754057259297,84.1677463395508
"cal-1",71.3977469580016,64.2556055087801,52.9369594246827,94.7551846472825,89.27322028714,78.6785454913192
"cal-2",89.4731259347108,99.1061034118473,84.6991350794923,135.364549496118,148.088518358668,118.932685045017
"cal-3",28.0168374138993,26.1378734273004,24.351001335354,29.0066891777395,19.9551904171254,25.6162706250807
"cal-4",67.7826711626597,72.9682299845469,71.9942648175684,72.5167229443488,65.1169371506198,66.7852769868175
"cam-1",131.046497581142,144.847381909623,135.518616127188,133.430770217602,140.736606099727,113.443484196786
"cap-1",282.8796809855,276.625827105596,293.270755212742,333.576925544005,317.182500314309,307.395247500968
"cap-2",213.289471925169,190.588660407399,231.86388228011,222.384617029336,234.210919106262,204.930165000645
"cas-1",131.950266529978,154.649084444861,143.988529635137,146.967225167214,132.334420660937,138.144888013828
"cat-1",57.8412127254696,83.8590105792554,67.7593080635938,51.2451508806732,43.061200373797,49.4028076340842
"cat-4",151.833183404358,156.827240563802,173.633226912959,120.861204907248,116.580322963206,120.762418661095
"cav-1",26.2092995162284,42.4740443193631,43.4083067282398,53.1789301591892,37.8098344745534,44.8284735938912
"cav-2",40.6696026975958,45.7412784977757,32.8209148433033,68.6491643873169,28.3573758559151,42.0838731697754
"cbp-1",339.817124762134,384.44455499321,333.502844375501,323.908029151425,436.913642817062,360.457522367207
"cca-1",99.4145843719009,91.4825569955513,97.4040053414162,72.5167229443488,99.7759520856271,76.848811875242
"ccb-1",73.2052848556725,56.6320590924842,75.1704823830494,74.4505022228648,66.1672103304685,75.9339450672035
"ccf-1",111.163580706762,99.1061034118473,111.167614791834,113.126087793184,110.278683884114,90.571813995821
"ccg-1",799.835519719385,937.696209204401,824.757827836556,872.134454610702,804.509255764109,765.743518328305
"cox-5B",488.03523237115,492.263282880824,484.902548330093,567.564218244437,476.824023651313,508.665945269459
"cyp-14A5",182.561327664763,175.341567574807,211.747837698731,42.5431441273513,55.6644785319814,74.1042114511263
"cyp-44A1",37.054526902254,53.3648249140716,31.7621756548096,58.0133783554791,35.709288114856,40.2541395536982
"ccr-4",109.356042809091,101.284259530789,104.815179660872,106.357860318378,118.680869322904,104.2948161164
"cct-1",914.614176221488,851.659042506204,820.522871082582,1154.46622927403,986.206515877935,1107.90370453474
"cct-2",1192.07124351398,936.60713114493,925.338050743453,1345.91037784711,1166.85350281191,1273.49459678973
"cct-4",1020.35514323524,885.420462349801,863.931177810822,1277.2612134598,1094.38465340235,1241.47425850837
"cct-5",944.438551533059,852.748120565675,896.752092654125,1129.32709865333,1022.96607717264,1014.5872901148
"cct-6",901.057641988956,796.116061473191,790.878173804759,1174.77091169845,1076.53000934492,1124.37130707943
"cdc-6",46.0922163906086,40.2958882004214,35.9971324087842,26.1060202599656,44.1114735536457,42.998739977814
"cdc-14",123.816345990458,117.620430422852,102.697701283884,155.669231920536,149.138791538516,157.357090982638
"cdc-25.1",9.03768948835463,11.9798586541793,8.46991350794923,8.70200675332186,12.6032781581845,10.0635348884246
"cdc-25.2",8.13392053951917,11.9798586541793,7.41117431945558,13.5364549496118,19.9551904171254,12.8081353125403
"cdc-42",198.829168743802,234.151782786233,205.395402567769,211.748830997499,205.853543250346,238.780236898074
"cdd-1",190.695248204283,234.151782786233,219.159012018186,230.1197341434,192.199991912313,197.611230536337
"cdd-2",15.3640721302029,17.4252489515336,14.8223486389112,23.2053513421916,23.1060099566715,22.8716702009649
"cdf-1",112.971118604433,120.887664601264,117.520049922796,102.490301761346,123.932235222147,107.039416540516
"cdh-3",11.748996334861,8.71262447576679,11.6461310734302,19.3377927851597,13.6535513380332,19.2122029688105
"cdh-4",232.268619850714,202.568519061578,223.393968772161,198.212376047887,279.372665839756,239.695103706112
"cdh-7",0.903768948835463,0,0,41.5762544880933,55.6644785319814,23.7865370090035
"cdh-10",6.32638264184824,1.08907805947085,0,39.6424752095774,40.9606540140996,29.2757378572351
"casy-1",1559.00143674117,1677.18021158511,1746.91966101453,1691.08997906222,1801.21850344053,1544.29517196915
"cdk-1",55.1299058789632,72.9682299845469,69.8767864405811,108.291639596894,79.8207616685017,91.4866808038596
"cdk-4",25.305530567393,26.1378734273004,24.351001335354,23.2053513421916,14.7038245178819,22.8716702009649
"cdk-5",42.4771405952668,49.0085126761882,49.7607418592017,56.0795990769631,45.1617467334944,54.8920084823158
"cdk-7",52.4185990324568,42.4740443193631,56.1131769901637,35.7749166525454,27.3071026760664,35.6798055135052
"cdk-8",45.1884474417731,38.1177320814797,37.0558715972779,30.9404684562555,26.2568294962177,35.6798055135052
"cdk-9",75.9165917021789,55.5429810330133,65.6418296866065,58.0133783554791,53.563932172284,52.1474080582
