gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
eat-4,13,6,7,11,10,4
eat-5,1,3,0,1,6,0
eat-6,923,1081,1193,869,996,796
eat-16,18,12,7,17,19,11
eat-20,21,5,8,22,21,20
bcat-1,167,221,213,131,162,113
ech-2,4,4,11,6,5,3
ech-3,11,5,1,4,2,6
ech-4,15,17,28,14,29,14
ech-5,18,21,14,17,23,20
ech-6,88,61,112,86,97,34
ech-7,16,26,28,12,9,11
ech-8,5,10,4,5,7,3
ech-9,5,0,5,3,2,0
eff-1,0,5,0,2,6,0
efk-1,69,32,34,55,54,49
efl-1,5,0,8,2,5,5
efl-2,3,8,9,5,2,7
efn-2,1,0,5,2,1,3
efn-4,4,3,1,7,1,4
eftu-2,92,74,87,67,65,46
eef-2,3406,3857,4137,3411,3714,3293
eef-1A.1,2566,2102,2793,2453,2561,2011
eef-1A.2,1138,957,1287,899,948,661
egl-2,15,2,3,10,4,3
egl-3,288,447,343,283,310,243
egl-4,175,162,176,193,176,109
egl-8,129,167,230,96,146,150
egl-9,26,32,37,25,35,28
egl-10,24,12,32,10,20,9
egl-13,15,15,11,14,22,14
egl-15,26,21,37,18,19,30
egl-18,10,9,11,9,9,15
egl-19,109,141,128,67,108,72
egl-20,10,7,9,4,14,7
egl-21,167,181,231,130,186,102
egl-23,11,7,16,15,5,2
egl-26,4,0,11,2,1,0
egl-27,82,53,54,66,77,43
egl-30,161,234,194,160,171,176
egl-43,14,10,7,8,6,5
egl-44,18,22,20,19,35,28
egl-45,215,168,197,187,211,144
egl-46,2,10,4,5,4,6
ego-1,4,1,4,3,2,4
ego-2,45,58,43,18,43,32
ehs-1,30,32,32,30,28,18
eif-3.B,125,123,142,133,159,130
eif-3.C,215,249,272,208,226,151
eif-3.D,120,148,150,123,148,103
eif-3.E,38,47,64,52,36,41
eif-3.F,37,34,34,31,32,18
eif-3.G,61,50,69,58,92,35
eif-3.H,43,45,31,39,28,26
eif-3.I,119,104,130,132,115,65
eif-3.K,17,22,25,17,13,11
eif-6,66,52,76,51,56,20
elb-1,3,11,13,10,10,3
elc-1,21,27,20,14,8,23
elo-1,144,169,215,105,151,185
elo-2,42,59,89,41,38,49
elo-3,62,103,102,59,73,43
elo-5,87,63,106,26,19,34
elo-6,65,101,79,43,60,37
elo-9,7,9,10,5,8,0
elp-1,4,5,4,4,4,0
elt-1,13,9,12,6,9,6
elt-2,2,1,12,8,2,0
elt-3,7,3,12,10,4,7
elt-6,10,5,3,11,10,6
emb-4,78,79,105,91,73,84
emb-5,129,123,112,100,81,59
emb-8,103,91,99,99,123,86
emb-9,484,333,434,351,334,244
emb-27,10,10,3,9,5,4
emb-30,44,21,27,25,38,13
emo-1,6,7,15,8,22,3
emr-1,4,8,10,2,15,11
ent-1,33,53,56,37,37,36
eor-1,8,11,29,4,13,13
eor-2,6,11,9,12,11,2
epi-1,433,304,400,331,348,256
epn-1,38,45,38,30,32,22
eps-8,238,305,275,217,250,183
erd-2.1,8,7,14,7,11,2
eri-1,1,4,7,5,2,3
erm-1,167,143,192,153,180,104
ero-1,38,6,31,27,19,5
F35A5.8,4,6,3,2,3,5
qars-1,99,84,69,59,80,51
ears-1,136,90,133,121,127,101
ears-2,5,6,10,6,5,3
etr-1,23,30,34,10,17,13
fos-1,80,96,73,92,79,79
evl-14,63,27,64,32,44,26
evl-20,2,0,3,0,1,0
exc-1,4,3,22,9,11,1
exc-4,19,15,23,12,12,5
exc-5,26,23,24,8,19,9
exc-7,10,2,19,11,4,4
exl-1,4,10,7,2,8,4
exo-3,7,3,2,6,12,3
exp-2,4,9,19,11,2,3
far-1,339,387,436,348,436,174
far-2,28,37,50,33,35,21
far-3,2,1,0,4,0,0
far-5,0,0,1,4,4,1
far-7,3,0,0,1,0,2
far-8,23,18,30,20,31,33
fat-1,100,114,165,102,128,88
fat-2,173,187,208,150,193,141
fat-3,57,38,38,51,38,41
fat-4,94,93,108,72,95,69
fat-5,0,2,0,2,2,3
fat-6,209,401,354,224,325,225
fbl-1,20,16,16,8,18,7
fbp-1,39,43,74,50,38,29
fce-1,23,13,32,24,24,7
fce-2,3,5,5,4,1,1
feh-1,37,19,30,31,36,10
fem-1,18,21,24,10,6,20
fem-2,23,14,19,20,22,8
fib-1,426,580,475,295,386,292
fis-2,5,1,0,8,3,4
fkb-1,21,20,23,22,18,11
fkb-2,51,25,51,43,62,35
fkb-3,2,1,0,9,6,10
fkb-4,3,0,4,0,3,0
fkb-5,4,9,5,19,46,20
fkb-6,91,82,77,118,134,69
fkh-7,47,36,46,51,57,20
fkh-8,4,1,2,2,3,0
fkh-9,37,18,52,28,18,16
fli-1,30,16,37,20,15,22
flp-1,75,71,61,59,111,43
flp-2,2,2,10,5,1,3
flp-3,23,13,21,12,21,7
flp-4,6,3,2,6,4,1
