gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
cec-5,45,16,40,48,57,47
F33D4.4,7,5,11,22,14,0
mrpl-1,22,38,51,44,36,42
F33D4.6,3,0,4,10,17,4
emc-6,1,1,1,7,2,2
hpo-3,20,28,18,19,10,7
F33D11.10,25,9,25,15,12,10
vpr-1,45,65,61,44,47,28
dhhc-3,4,4,2,1,3,0
F33E11.3,18,4,14,8,5,7
phf-10,11,12,17,2,6,0
F33G12.3,3,1,2,3,7,4
golg-2,55,19,44,21,35,23
F33G12.6,36,18,20,27,33,26
F35A5.1,113,51,116,41,103,42
F35A5.2,8,27,30,7,17,15
F35B3.7,12,20,22,12,18,20
sek-4,5,3,7,4,9,4
F35C8.5,25,52,48,50,41,37
chtl-1,6,10,6,18,6,2
F35D2.3,3,3,4,2,5,7
F35D11.3,8,9,7,0,4,6
F35D11.4,8,19,20,10,10,2
coa-3,3,4,12,6,3,3
che-10,36,33,27,28,36,19
F35F10.1,0,0,0,10,1,1
arrd-18,9,7,10,6,10,8
arrd-19,5,12,6,6,13,4
cdc-73,11,11,15,11,11,5
F35H10.2,8,2,0,0,1,0
F35H10.6,4,1,1,1,0,3
nprl-3,2,9,4,7,5,3
F35H10.10,59,65,40,62,83,48
F35H12.1,4,1,8,0,4,1
tbc-11,23,11,20,17,10,9
pifk-1,6,6,6,4,5,3
F35H12.5,0,2,8,4,6,2
ttr-20,2,0,5,0,2,2
trpp-4,10,1,3,4,4,0
F36D4.5,13,20,11,16,13,11
math-26,8,4,4,0,8,2
F36H9.4,0,1,0,0,0,1
F36H9.7,3,9,11,3,2,5
nlp-47,5,3,2,6,2,1
F37A4.1,22,38,23,22,31,24
F37A4.2,10,1,1,5,1,1
bath-41,5,14,6,6,10,1
folt-2,55,70,85,39,42,24
F37C4.4,11,8,5,8,15,7
F37C4.5,117,116,107,81,103,71
F37C4.6,20,36,33,16,30,23
F37C12.1,7,3,7,12,6,8
epg-4,3,1,3,2,5,3
F37C12.3,27,32,22,19,26,17
acs-4,58,63,118,30,67,31
exos-9,27,38,42,31,36,16
ncbp-1,21,27,32,18,33,20
F37F2.2,7,1,12,9,1,3
odr-8,10,13,18,16,10,5
F38A5.2,15,25,25,17,24,12
sup-36,10,7,12,1,9,17
F38B6.4,9,6,6,10,8,7
mpdu-1,8,4,13,10,11,6
F38E9.1,2,7,10,0,4,4
twf-2,25,20,21,17,12,9
F39C12.1,120,137,137,133,118,79
ugt-61,5,22,15,13,9,11
F39G3.3,17,12,19,19,18,24
F39G3.5,3,7,13,8,12,2
F39H12.1,3,1,0,2,3,0
F39H12.3,11,19,22,18,12,15
igcm-1,4,3,3,6,16,4
F40A3.1,2,1,0,2,3,0
F40A3.2,6,1,5,8,6,1
F40A3.3,35,34,35,20,29,39
F40A3.6,17,18,20,26,14,10
F40A3.7,1,2,5,1,4,7
F40B5.2,4,16,11,6,3,12
mage-1,4,5,6,4,1,2
irg-7,1029,1741,1700,977,1177,1069
F40F4.7,2,4,5,4,7,9
sec-20,10,3,2,2,1,3
cox-17,0,1,0,2,1,0
F40G9.5,1,2,0,6,5,1
F40H3.1,9,4,5,9,9,2
F40H3.2,0,0,1,3,0,1
F41B4.1,20,29,37,15,16,10
F41B4.2,0,3,1,3,0,1
F41B4.3,4,2,3,2,1,5
cyp-33C7,0,2,8,5,2,0
nhr-182,10,7,8,6,5,1
F41C3.2,28,29,47,15,27,18
acs-11,23,14,22,27,33,20
eas-1,3,0,1,0,2,1
F41C3.5,355,303,408,300,298,236
F41C3.8,12,6,6,4,2,2
F41C6.7,0,4,1,0,3,4
tbc-18,10,6,7,9,1,7
F41D9.2,2,2,5,0,7,0
smk-1,91,116,107,116,128,80
F41E6.5,0,0,3,3,7,4
F41E6.7,0,3,0,0,1,0
vps-60,7,8,8,12,13,12
F41E6.12,3,0,8,0,3,0
atg-18,27,11,7,36,20,23
F41F3.3,6,0,0,163,128,46
nlp-50,7,8,8,3,9,6
F41G3.6,9,1,8,9,6,4
F41G3.10,24,16,10,18,15,16
agr-1,13,10,5,7,14,7
exos-8,2,0,4,2,5,2
F41G4.8,1,2,9,2,1,1
F41H10.3,40,68,57,39,52,53
F41H10.4,7,9,17,4,5,5
hda-6,12,11,9,12,8,5
sand-1,0,12,5,11,11,6
F42A6.6,1,5,2,0,1,0
elks-1,15,13,33,12,18,17
cyp-33E2,6,10,3,8,8,10
abcf-3,81,46,72,52,42,52
anmt-2,9,10,14,16,10,8
F42A10.5,33,57,38,42,49,33
F42A10.6,6,3,12,4,9,11
F42A10.7,4,3,2,11,3,3
npr-27,0,6,7,2,3,0
F42C5.4,1,6,13,3,3,12
F42C5.9,23,13,20,21,20,10
ifo-1,77,76,82,71,71,55
F42G2.2,8,2,3,4,2,0
islo-1,8,5,3,8,15,9
moc-3,13,8,14,9,8,1
F42G8.10,44,71,60,65,61,27
ppm-1.G,27,32,42,44,28,31
dagl-2,19,13,21,6,19,16
F42H10.2,2,0,0,0,2,0
F42H10.3,10,5,7,6,6,3
mig-39,10,10,11,6,11,10
F42H10.6,3,2,1,1,3,2
ess-2,8,12,5,0,11,7
F43B10.1,28,52,53,29,45,29
tag-343,23,39,61,19,29,26
F43C9.1,2,7,0,6,11,1
F43C9.2,15,6,9,11,12,9
F43C11.9,6,2,3,5,4,3
F43E2.1,6,7,7,8,7,3
rpb-4,8,2,4,5,9,0
insc-1,6,12,14,8,16,18
msra-1,6,8,4,17,17,5
mtch-1,40,76,53,60,40,36
sptl-2,41,38,48,40,35,22
F43H9.4,10,5,3,2,7,8
kvs-3,3,7,2,0,9,3
F44A2.3,3,7,13,7,7,4
F44A2.5,15,17,25,26,18,13
F44B9.2,17,21,20,13,30,3
F44B9.5,8,19,9,13,32,10
F44B9.8,9,8,5,9,4,10
F44E2.3,7,3,13,9,6,3
F44E2.4,5,4,4,22,15,13
F44E2.6,1,5,5,4,2,0
F44E2.7,13,7,17,13,11,14
F44E2.8,20,41,32,28,30,34
F44E2.9,4,7,3,3,6,5
F44E7.4,148,226,231,95,136,106
F44E7.7,0,3,1,0,5,2
F44E7.9,9,6,8,3,4,5
F45E1.4,16,13,13,11,12,8
F45E1.5,1,3,0,0,0,1
sdpn-1,12,6,17,9,17,8
cla-1,196,171,254,157,206,128
cima-1,2,6,2,3,2,4
cnep-1,8,18,12,18,15,8
mrpl-14,24,15,18,13,34,11
F45F2.9,4,3,8,2,3,3
F45F2.10,47,44,51,30,38,27
F46C8.3,6,9,11,4,5,0
F46C8.8,0,0,0,0,0,2
acs-1,48,94,79,26,59,39
mdh-1,296,468,454,318,453,280
hpo-26,0,2,2,3,5,4
F46F11.1,46,44,48,43,42,17
xrep-4,10,14,18,17,7,6
trpp-8,30,28,37,21,30,17
F46F11.10,4,12,8,3,5,0
twnk-1,5,15,8,2,13,10
gakh-1,10,14,29,14,9,12
F46H5.2,10,31,21,16,16,7
F46H5.3,603,823,731,527,612,504
F46H5.4,30,35,53,26,23,17
F46H5.7,39,47,47,42,45,38
lact-1,6,4,9,4,8,4
F47B7.1,132,208,174,143,178,146
F47B7.2,28,44,32,36,31,32
marg-1,48,54,48,30,22,16
F47D12.9,30,47,31,66,55,37
F47E1.2,11,9,3,8,11,15
F47F2.1,6,2,15,12,5,11
lin-42,8,10,6,45,44,53
F47G3.1,5,2,5,0,11,1
F47G3.3,3,2,3,7,3,3
acs-16,19,44,17,11,13,9
F48A9.2,13,4,11,2,9,5
F48A11.4,2,5,4,3,5,6
ubxn-3,51,72,58,33,46,45
nlp-37,10,2,4,2,0,0
F48B9.8,1,5,4,0,2,1
aman-3,6,12,12,8,8,4
F48C1.6,7,9,11,4,9,4
F48D6.4,2,2,9,5,15,9
uggt-1,99,111,116,98,129,97
F48E3.8,4,7,2,2,1,5
F48E8.2,13,7,15,9,7,3
F48E8.3,9,6,19,19,10,2
F48E8.4,18,21,8,21,11,16
disl-2,24,34,26,26,15,3
F48G7.4,4,3,0,3,1,0
nhr-190,5,9,24,4,1,9
prp-17,17,33,17,17,10,15
tag-296,2,2,6,2,2,0
nprl-2,4,16,11,10,9,7
F49E8.6,2,9,5,8,3,5
F49E8.7,15,19,36,6,18,8
tbc-16,9,10,26,10,8,8
F49E10.2,1,0,2,4,1,4
mul-1,0,0,2,5,1,1
txdc-12.2,7,9,10,25,27,19
acl-4,31,34,39,59,47,38
sorf-2,13,21,20,15,16,17
F52C9.3,30,22,34,26,24,20
F52C12.1,5,15,9,5,4,8
F52C12.2,9,11,17,8,11,3
denn-4,40,29,21,29,30,18
aagr-4,0,6,0,13,17,9
F52E1.2,1,0,5,4,3,3
pho-6,7,1,4,1,9,10
F52E1.9,3,1,1,5,3,1
lmd-3,43,25,51,46,36,20
pccb-1,161,222,203,206,181,131
F52E4.5,2,2,1,3,3,5
sec-3,4,11,11,10,4,9
oac-32,1,4,4,3,2,2
F52G3.1,59,130,89,80,79,70
F52H2.1,3,3,2,0,2,2
F52H2.3,8,0,0,3,4,0
F52H2.6,31,17,35,35,27,18
F52H2.7,3,7,6,7,7,3
F53A3.7,0,0,0,3,0,3
F53A9.6,7,15,13,18,10,4
F53A9.7,3,3,1,3,2,0
F53A9.8,18,15,20,8,31,14
F53A9.9,5,2,9,8,5,4
F53A10.2,29,26,23,28,28,13
F53B1.2,3,1,6,4,2,3
F53B1.4,0,0,0,19,5,9
F53B1.8,13,25,22,15,20,16
tra-4,14,24,18,16,10,18
F53B3.5,0,14,5,6,10,6
F53B3.6,36,56,44,59,78,55
F53C3.4,0,0,0,1,2,0
F53C3.6,2,4,3,5,4,0
bcmo-2,29,21,27,8,30,12
plpp-1.1,161,241,235,155,158,179
tag-304,12,33,21,15,29,27
F53E10.1,8,12,10,17,12,4
irg-3,0,5,7,3,4,6
F53E10.6,9,13,24,5,8,11
F53F10.1,2,2,2,11,8,0
F53F10.2,68,73,72,84,72,44
mpc-2,25,43,35,41,46,32
mnat-1,39,22,52,46,18,26
F53H1.1,55,25,37,41,31,22
F53H1.3,6,6,8,1,4,2
F53H1.4,54,60,69,46,65,33
F53H8.3,14,6,13,12,19,2
F54A3.2,10,14,15,9,10,8
cct-3,142,87,114,133,112,121
F54A3.5,41,47,35,40,41,24
F54A3.6,6,8,10,10,9,5
cutl-20,5,15,10,8,2,6
shc-1,3,0,1,4,4,5
F54C1.1,0,4,2,0,5,3
mrpl-40,10,8,9,8,19,13
attf-3,14,50,33,20,26,24
ept-1,22,24,24,11,12,9
F54D8.6,32,37,28,37,27,19
lido-15,6,6,3,5,7,8
pmt-2,179,232,262,217,229,201
sumv-2,119,150,118,70,78,42
F54D11.4,12,20,15,6,8,7
rog-1,9,25,22,12,9,15
F54E2.1,48,41,60,34,60,27
pst-2,0,2,2,4,6,7
ska-3,0,0,0,0,0,0
F54E7.9,7,0,4,2,2,1
F54F2.7,3,2,2,0,0,0
F54F2.9,1,0,1,1,5,3
F54G2.1,49,40,53,36,39,19
eef-1B.1,233,179,233,209,224,160
6-Mar,40,32,48,42,40,26
F55A3.2,3,7,12,3,0,7
spt-16,82,58,77,87,99,50
sec-22,9,7,8,12,8,3
nlf-1,13,18,14,7,10,16
stau-1,8,16,14,4,11,4
vpat-1,2,5,7,3,7,12
F55A12.2,7,19,20,2,8,9
F55A12.5,10,6,22,3,11,15
nath-10,86,69,113,62,57,35
rfip-1,32,25,44,27,35,43
F55C12.4,2,1,5,0,1,0
F55C12.5,47,26,35,33,39,23
tag-234,0,2,1,0,0,0
aman-1,0,2,1,0,5,4
glit-1,9,14,16,6,5,5
F55D10.4,3,2,4,4,5,0
drd-5,6,6,4,9,2,3
npr-28,6,2,5,5,3,3
F55F8.2,77,77,68,27,45,31
F55F8.3,54,56,58,26,77,40
cir-1,28,12,51,28,15,13
wdr-12,42,30,49,15,35,12
mff-2,8,1,12,0,2,8
zipt-2.4,3,1,5,5,6,2
F55F10.1,1058,835,885,446,494,419
rod-1,41,48,63,40,37,51
F55G1.9,3,2,3,1,3,7
F55G1.15,2,5,5,1,5,1
fncm-1,7,2,5,5,4,3
slx-1,3,3,5,4,3,4
F56A11.5,5,22,33,11,16,11
ugt-52,1,4,0,7,0,0
mrpl-2,44,39,43,11,33,13
F56B3.11,18,10,18,17,20,8
skr-18,2,3,23,7,4,7
F56B6.6,3,9,8,7,3,6
fbxa-190,1,1,1,0,0,0
F56C9.7,77,78,92,76,80,27
F56C9.8,4,4,1,5,4,2
F56C9.10,82,62,52,62,70,36
F56C11.5,4,2,0,0,1,2
F56C11.6,3,20,5,6,17,8
F56D1.1,6,1,9,3,5,4
ilcr-2,27,20,32,27,21,15
mrps-16,7,3,6,2,4,3
ucr-1,212,199,231,196,229,148
F56D2.3,0,0,0,1,1,1
ddx-15,56,70,89,37,66,26
F56D3.1,19,18,10,30,14,11
clec-67,184,371,327,112,240,190
fcho-1,29,21,35,39,29,21
F56E10.1,20,31,24,25,22,9
daam-1,10,9,5,4,14,2
F56F10.1,57,50,64,59,56,27
cdo-1,10,7,2,3,7,4
lgl-1,20,23,16,13,7,6
F56F11.2,1,2,6,4,6,0
klf-1,3,7,7,7,9,3
ccpp-1,11,8,17,12,16,16
F57B9.1,4,4,12,8,9,5
flap-1,4,5,4,10,8,4
ipgm-1,186,217,211,143,169,164
F57B10.5,18,24,27,21,20,21
xpg-1,19,4,8,7,7,18
F57B10.8,10,6,7,9,2,5
spg-20,8,10,8,2,5,3
ucr-11,8,3,5,8,6,1
pdxk-1,22,18,13,15,12,14
clec-90,7,7,4,0,5,3
F57C9.4,17,4,10,16,7,6
F57C12.2,3,0,1,2,5,1
F57F4.4,300,414,447,264,346,253
abts-3,31,14,26,22,24,32
F57H12.6,3,6,0,1,0,0
F58A6.1,1,3,5,3,9,0
F58F9.3,5,6,7,10,10,2
F58F9.4,0,0,6,1,2,0
acox-3,13,5,20,17,19,7
F58F12.1,56,64,78,56,72,52
myo-5,255,336,311,171,201,185
faah-3,17,18,23,10,16,9
lgc-30,8,5,16,2,8,5
cpd-1,11,17,27,21,18,13
F59A3.2,7,9,12,6,1,3
mrpl-24,22,8,17,10,17,7
zipt-11,1,2,6,11,8,2
rpa-4,3,12,8,6,1,5
F59A6.5,17,11,20,16,16,6
F59A7.2,0,3,9,3,0,0
F59A7.5,0,5,0,1,5,3
F59B1.2,45,18,18,28,31,22
F59B1.8,3,9,7,11,4,4
F59C12.3,18,15,19,19,26,18
asp-8,22,41,26,20,20,8
chpf-2,2,0,1,1,1,2
F59E11.2,0,2,2,3,0,0
F59E11.5,0,2,3,4,1,3
F59E11.7,1,0,2,1,0,0
nhr-143,11,8,16,11,30,6
F59E12.1,15,4,14,14,15,9
F59E12.9,67,53,90,59,72,44
sam-4,8,5,10,1,2,0
cgt-3,19,21,20,24,23,17
F59G1.4,2,4,7,6,8,3
gbas-1,0,3,1,3,1,2
H01M10.1,2,1,13,6,11,5
H02F09.3,2,8,1,3,3,8
H03E18.1,0,0,0,1,3,7
glf-1,0,0,0,13,6,6
H04M03.12,6,3,4,3,5,4
H05C05.1,47,24,105,65,61,43
H05C05.2,18,8,7,11,6,11
nlp-49,20,12,23,12,28,10
eif-1.A,163,122,156,135,163,93
ubxn-6,5,6,3,5,2,1
H06H21.8,12,8,14,5,11,2
tat-2,16,17,11,11,8,18
H06I04.1,5,19,8,8,13,9
H06I04.3,188,174,183,122,116,79
H06I04.6,16,12,21,11,8,11
H10D18.5,3,7,6,0,4,3
H10E21.1,1,6,9,3,2,3
H10E21.4,0,1,0,2,4,0
H10E21.5,21,21,23,11,15,14
H11E01.3,56,46,61,40,66,40
H14A12.3,13,19,8,10,11,10
strm-1,5,6,1,2,3,1
H14E04.2,8,2,16,11,12,6
H14E04.3,0,0,0,0,0,0
ttr-47,5,10,4,8,6,0
H14N18.4,33,31,31,12,17,7
kcc-2,111,112,127,93,113,110
fgt-1,93,113,114,81,80,67
emc-1,52,81,93,50,86,42
H18N23.2,2,6,9,7,6,9
zmp-2,3,0,5,4,9,7
H20E11.1,3,6,2,2,0,0
athp-2,30,31,31,26,19,19
madf-3,6,3,2,1,11,2
H20J04.4,3,14,5,7,3,3
pfd-2,12,15,17,3,13,7
H20J04.6,6,5,6,5,5,2
gnrr-5,0,3,9,4,5,2
bgal-2,5,11,6,5,5,2
sgca-1,5,2,8,8,6,5
ugt-13,8,4,15,17,14,4
ugt-8,2,4,6,5,14,16
H24G06.1,72,95,71,85,111,70
H24K24.3,30,32,36,26,30,20
trm-2A,42,50,43,31,46,22
H25P19.1,8,15,10,14,2,1
sacy-1,8,13,6,3,8,5
rpb-5,30,28,33,18,24,10
H28G03.1,60,35,77,60,42,26
H28G03.2,20,40,29,25,22,15
H34C03.2,50,51,43,45,60,33
H34I24.2,53,71,50,30,59,53
H35B03.1,10,5,8,9,9,7
H35B03.2,5,3,8,2,3,5
H41C03.1,0,2,0,1,4,3
H41C03.3,0,0,2,3,7,1
H42K12.3,0,0,0,5,14,12
H43E16.1,26,44,68,16,13,24
H43I07.1,12,15,16,17,15,9
rpac-40,13,9,20,9,18,2
algn-5,21,4,12,7,13,7
sgcb-1,2,2,0,2,1,0
K01A2.4,1,2,8,6,6,5
K01A2.5,4,9,12,7,11,4
mps-2,7,4,4,1,1,4
K01A2.10,6,5,6,10,5,2
cbn-1,9,7,1,4,4,4
kcc-3,4,3,15,4,18,9
K02A6.3,12,8,8,15,16,6
pfkb-1.2,25,17,14,16,13,5
mcu-1,7,6,10,16,7,4
K02D7.1,66,77,92,53,77,40
swt-1,13,7,4,1,0,3
K02D10.1,34,46,59,27,28,36
K02D10.4,0,1,5,7,2,0
snap-29,40,50,39,30,39,20
K02E10.4,2,0,0,11,5,0
K02E10.7,6,3,3,7,2,1
ahcy-1,759,704,798,712,794,544
teg-4,79,71,78,60,69,60
K02F2.5,8,20,26,18,23,4
K02F3.2,60,47,44,48,49,30
zip-2,203,268,292,224,215,175
clec-149,1,15,4,10,12,0
ceeh-1,8,1,3,4,8,1
K02F3.9,8,0,2,3,2,0
moma-1,65,98,90,93,81,48
K02F3.12,25,11,30,19,19,6
dhhc-10,7,8,3,11,3,2
tmem-135,4,13,11,7,8,2
K02G10.5,0,3,2,4,1,2
mbl-1,15,11,12,7,9,7
lron-7,18,19,14,20,15,8
K03A1.4,1,0,3,0,0,1
K03B4.1,11,37,10,5,13,5
K03B4.2,14,15,11,13,16,5
K03B4.4,1,1,5,2,1,0
cpg-8,10,43,22,18,41,27
clik-3,7,19,6,18,23,12
rei-2,18,10,15,16,28,10
K03H6.2,12,16,8,5,17,7
K03H6.5,6,5,3,1,0,5
K04A8.1,2,10,11,10,6,4
K04C2.2,89,103,63,42,44,50
K04C2.3,26,27,24,30,44,13
K04F1.9,3,0,0,0,0,0
K04F10.7,32,4,23,14,26,5
K04G7.1,7,2,4,8,6,7
nuo-4,118,80,130,90,83,52
syf-2,14,19,17,9,11,6
K05B2.2,6,1,5,3,1,1
lect-2,8,6,5,10,4,4
K05F1.6,15,17,15,18,12,10
K05F1.10,10,14,12,6,12,11
atg-16.2,4,5,8,4,4,10
dgk-5,16,13,12,12,12,9
K06A5.1,4,4,6,2,6,0
knl-2,23,17,17,25,29,14
acdh-3,35,33,43,33,38,39
nmtn-1,4,4,8,3,0,0
K06A9.1,78,140,99,74,95,92
K06A9.2,7,8,8,14,5,3
K06H7.2,5,3,8,3,2,1
vms-1,17,6,26,9,8,8
idi-1,2,6,3,4,1,3
K07B1.4,1,6,7,3,0,2
acl-14,16,6,24,16,18,9
tos-1,27,31,20,11,30,23
K07B1.7,8,3,4,8,9,7
cyp-35A5,1,0,1,4,0,1
timp-1,1,2,0,6,0,0
K07C11.4,6,15,14,15,11,15
cri-2,5,1,2,0,2,0
K07C11.7,15,36,25,12,19,19
K07C11.8,6,1,1,1,3,1
cogc-6,11,17,16,10,21,5
ephx-1,12,15,12,9,13,24
K07D4.9,5,10,3,3,8,6
K07E1.1,4,4,8,5,4,5
K07E3.1,29,17,31,51,35,22
K07E3.2,3,3,4,4,0,1
K07E3.4,48,49,82,45,75,42
catp-5,30,9,33,22,22,27
sdz-24,33,30,44,37,52,26
K07E8.6,0,0,1,4,5,1
K07E8.7,4,7,6,7,3,1
tbce-1,1,3,7,8,3,0
K07H8.2,21,35,35,17,19,13
K07H8.10,1249,1404,1400,767,814,651
lido-8,12,14,8,16,20,7
lido-7,12,6,3,2,2,1
ugt-19,7,9,4,6,10,3
ugt-20,6,2,1,2,0,2
K08B5.2,2,3,9,8,5,5
K08B12.1,0,0,0,5,2,0
dmd-7,50,33,62,31,31,21
K08B12.3,2,5,10,5,20,7
K08D9.4,1,0,2,3,8,1
rpi-2,0,0,5,0,0,0
K08D12.3,67,70,88,69,73,64
K08D12.6,113,139,219,224,280,247
cif-1,151,243,199,149,172,125
miro-1,13,31,18,11,10,8
K09C4.1,1,0,0,0,1,0
K09C4.10,7,7,9,7,9,9
K09C6.9,4,0,0,3,2,2
cyp-35A3,9,3,2,2,7,2
K09E2.3,11,5,8,11,10,12
K09H9.5,20,12,12,5,9,15
acds-10,15,15,21,27,20,16
ctsa-1,22,28,41,10,27,12
K10B2.4,2,16,2,3,4,2
ani-2,3,0,7,5,1,7
K10B3.1,3,1,0,8,2,1
K10B3.5,4,3,4,3,7,2
gpcp-1,17,16,17,23,34,18
K10B4.3,22,11,5,11,6,18
K10C2.1,987,1297,1362,833,889,778
asp-14,87,69,121,85,72,54
fah-1,49,56,92,55,54,34
rnst-2,5,6,20,12,7,6
hira-1,20,10,8,8,13,11
pup-2,7,13,10,13,18,11
cid-1,43,14,33,18,26,15
gsto-3,2,1,2,1,3,0
K11C4.2,3,4,9,2,1,1
cpt-4,11,13,10,14,20,1
swt-7,46,111,126,34,44,52
K11D12.7,2,1,0,0,2,0
K11D12.9,6,7,5,14,4,3
K11G9.1,1,1,2,3,1,4
slc-25A10,20,14,26,15,21,12
K11G12.6,16,12,8,20,8,11
K11H12.1,0,5,4,3,2,3
K11H12.4,7,4,15,5,13,0
K11H12.7,18,18,34,9,11,12
K11H12.8,32,54,22,22,22,27
K11H12.9,5,10,3,3,5,0
sago-1,7,7,6,2,8,5
K12C11.1,68,96,83,70,62,58
K12H4.2,3,7,2,3,0,3
K12H4.3,25,13,20,21,16,15
spcs-3,44,79,64,33,51,27
K12H4.5,20,44,41,33,30,18
K12H4.7,259,213,267,231,248,184
K12H6.6,16,25,21,13,13,4
ostd-1,53,60,42,38,49,45
M01B12.4,21,29,31,24,31,17
riok-1,53,54,67,34,52,39
M01E11.1,0,2,0,0,0,2
M01E11.2,5,11,12,10,8,4
pqn-52,10,8,19,17,19,13
M01G5.1,23,41,30,3,13,9
M01G5.3,26,5,24,20,31,13
trx-3,3,4,1,2,7,1
M01H9.2,1,5,3,14,5,6
M01H9.3,27,47,52,66,73,33
M01H9.4,4,2,5,3,6,6
algn-14,2,5,2,1,4,2
bris-1,12,18,24,12,27,14
zig-12,39,22,33,41,39,19
M02D8.3,16,9,19,7,12,4
asns-2,52,62,85,101,93,64
M02E1.1,20,10,25,20,22,10
nlp-64,1,0,6,0,1,0
clec-265,36,49,55,30,50,19
nhr-201,2,1,5,1,4,5
nhr-202,11,0,2,0,0,2
nhr-203,7,5,5,8,3,1
M02H5.8,0,0,0,3,0,2
ipla-1,36,43,37,31,25,26
atg-2,105,99,75,175,139,118
M03A8.3,1,1,6,0,2,0
M03D4.3,2,5,10,12,14,3
M03D4.4,9,4,4,0,5,1
memb-2,4,0,2,5,1,2
calu-1,58,66,89,63,102,57
M03F8.3,34,46,58,19,32,19
M4.1,17,21,29,13,18,16
rpa-2,33,31,17,29,33,20
M04F3.4,4,2,5,12,8,5
M04F3.5,7,4,19,21,14,13
M04G7.1,14,23,25,22,21,18
M04G7.3,7,6,4,2,1,8
M57.2,11,8,19,13,23,7
endu-2,118,151,192,132,134,96
M60.4,55,70,70,72,58,32
M60.6,5,9,12,4,4,7
M70.4,14,24,7,10,11,9
M70.5,7,8,10,1,8,8
mtss-1,14,28,23,13,12,11
aak-1,19,35,27,19,18,14
PDB1.1,15,17,14,14,14,9
R01B10.3,1,2,7,5,7,1
jamp-1,4,12,6,2,9,3
R01B10.6,3,15,10,7,15,6
ger-1,4,6,11,12,12,9
nhr-204,2,1,5,4,4,1
R02C2.7,1,0,0,2,0,2
aass-1,164,190,167,162,196,159
cogc-8,12,20,23,11,10,7
gtf-2H1,19,20,17,3,10,6
R02D3.4,10,24,11,14,8,7
fnta-1,19,24,16,15,15,28
R02D3.7,9,2,2,3,14,0
R02D3.8,0,0,2,0,0,0
mop-25.1,14,29,39,15,23,7
hrg-1,24,38,27,25,27,21
R02F2.1,253,298,256,190,236,141
osg-1,3,7,4,2,5,9
R02F2.7,19,11,12,15,7,21
R02F2.8,6,3,5,3,7,6
R02F2.9,11,9,14,9,12,7
R02F11.1,0,0,0,4,5,1
R02F11.2,5,4,3,8,3,1
R02F11.3,8,18,14,9,12,9
R02F11.4,5,11,16,7,28,13
R03E9.2,1,0,2,8,2,1
abts-4,12,17,34,13,26,16
gpx-7,4,0,2,1,3,0
R03H10.2,18,20,13,13,8,23
R03H10.6,4,3,5,1,4,3
R03H10.7,0,0,3,1,1,0
nrde-3,9,14,23,18,26,8
R04A9.3,7,5,11,8,1,1
ceh-93,3,5,4,2,6,4
R04B3.2,0,4,2,4,0,1
cnnm-2,3,3,5,3,0,0
R04E5.8,35,48,45,40,51,22
arrd-26,0,16,5,9,7,5
mca-2,100,71,96,91,105,76
R05D3.2,37,34,31,43,25,45
R05D3.8,3,0,5,8,2,5
R05D3.9,12,10,17,20,18,9
met-2,27,23,48,26,19,23
R05D3.12,18,3,12,12,17,4
btbd-10,36,15,29,33,11,15
R05F9.6,125,136,165,104,107,58
R05F9.9,6,4,6,7,7,4
sgt-1,166,284,238,241,225,161
aagr-2,100,122,133,56,99,55
R05G6.4,8,8,2,1,9,2
vdac-1,397,643,530,449,512,435
R05G6.10,26,28,30,23,20,22
twk-49,19,28,23,8,12,13
R05H11.1,6,0,3,0,8,2
R05H11.2,4,7,9,1,1,8
R06A10.4,8,1,7,3,4,1
clec-150,21,17,37,19,28,6
tbc-10,3,5,11,10,11,2
fbxc-36,6,1,6,7,4,1
R07E4.1,5,7,12,8,10,3
R07E4.3,2,7,12,9,2,0
R07E4.5,4,6,4,7,4,8
npp-21,175,101,153,90,86,56
pgam-5,26,24,17,18,29,4
R07G3.7,4,1,0,1,0,1
R07G3.8,2,1,2,4,4,2
chat-1,24,27,21,23,25,13
htz-1,10,4,27,12,17,19
wapl-1,23,23,36,14,17,23
R08C7.12,10,14,11,4,7,12
R08E3.1,93,72,99,92,107,65
R08E3.3,11,14,25,23,12,7
ztf-16,31,14,7,25,16,10
cysl-3,5,10,20,6,6,9
R08E5.3,5,1,3,1,3,0
R08F11.1,19,12,11,11,16,14
cyp-33C8,9,6,12,8,18,4
R08F11.4,4,2,0,3,2,4
R08F11.7,0,0,1,6,9,0
ergo-1,12,29,21,18,26,16
R09A1.3,4,1,1,2,2,0
hacd-1,3,1,5,2,2,1
R09B5.11,6,3,2,1,1,1
sti-1,87,119,109,146,156,105
R09F10.1,18,6,1,3,9,0
R09F10.3,3,2,7,4,0,2
R09F10.5,2,4,3,3,5,2
cdh-1,38,45,43,44,45,31
R11F4.1,77,120,84,70,99,66
R11F4.3,0,3,0,8,6,13
R11G1.6,33,27,61,33,29,23
gldc-1,119,154,173,110,118,90
frpr-16,0,3,2,1,3,0
R12C12.5,19,19,19,15,13,4
R12C12.6,8,12,3,1,4,0
R12C12.7,4,6,13,9,6,4
R12C12.9,9,2,4,8,9,6
kel-20,9,6,7,7,13,5
suco-1,65,70,47,103,101,52
R12E2.11,72,76,74,68,86,52
